Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Flag_New,Flag_Old,Flag_Recent,Flag_EcoEngine,Flag_Luxury,Flag_TopSeller,Flag_LowSeller
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091.0,8635,High,0,1,0,0,1,1,0
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941.0,1113,Low,0,1,0,0,0,0,1
M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507.0,9383,High,0,1,0,0,0,1,0
7 Series,2017,North America,Black,Petrol,Automatic,3.2,58288,101791.0,7521,High,0,1,0,0,1,0,0
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527.0,6273,Low,0,0,1,0,0,0,0
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370.0,4645,Low,0,0,1,0,1,0,0
M3,2015,Asia,Red,Hybrid,Manual,2.0,41514,116902.0,8897,High,0,1,0,0,1,1,0
X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465.0,6481,Low,0,1,0,0,1,0,0
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076.0,9469,High,0,0,1,0,0,1,0
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049.0,1440,Low,0,1,0,0,0,0,1
i8,2010,South America,Black,Hybrid,Automatic,4.7,16020,102215.0,5006,Low,0,1,0,0,1,0,0
i8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577.0,448,Low,0,0,1,0,0,0,1
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277.0,4091,Low,0,0,0,0,0,0,0
i8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788.0,3384,Low,0,1,0,0,1,0,0
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432.0,4926,Low,0,0,1,0,1,0,0
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240.0,4561,Low,0,0,1,0,1,0,0
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717.0,8046,High,0,1,0,0,0,1,0
i8,2010,Middle East,Grey,Petrol,Automatic,4.0,98514,37949.0,2278,Low,0,1,0,0,0,0,1
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748.0,3929,Low,0,0,1,0,1,0,0
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401.0,7110,High,0,0,1,0,0,0,0
i3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578.0,173,Low,0,0,1,0,0,0,1
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177.0,5946,Low,0,0,0,0,0,0,0
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278.0,2913,Low,0,0,1,0,0,0,0
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256.0,7627,High,0,0,1,0,1,1,0
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675.0,2155,Low,0,0,1,0,1,0,1
i8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317.0,7168,High,0,0,1,0,1,0,0
i3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039.0,8283,High,0,0,1,0,1,1,0
5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855.0,648,Low,0,0,1,0,1,0,1
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542.0,7933,High,0,0,1,0,1,1,0
i3,2012,Asia,White,Hybrid,Manual,3.9,193905,93508.0,8438,High,0,1,0,0,1,1,0
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692.0,6782,Low,0,0,1,0,1,0,0
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278.0,3153,Low,0,1,0,1,0,0,0
i8,2013,Middle East,White,Petrol,Manual,3.1,42427,44269.0,5887,Low,0,1,0,0,0,0,0
i3,2018,South America,Red,Petrol,Manual,4.1,1428,46127.0,608,Low,0,1,0,0,0,0,1
i8,2012,Middle East,Red,Diesel,Automatic,3.2,110845,100747.0,3291,Low,0,1,0,0,1,0,0
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739.0,3754,Low,0,1,0,0,1,0,0
X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537.0,4125,Low,0,1,0,0,0,0,0
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263.0,9762,High,0,1,0,0,0,1,0
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464.0,9390,High,0,1,0,0,0,1,0
3 Series,2018,Africa,Black,Electric,Manual,1.8,117061,54762.0,3293,Low,0,1,0,0,0,0,0
M3,2016,South America,Grey,Electric,Automatic,3.0,102675,93915.0,9470,High,0,1,0,0,1,1,0
X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237.0,5425,Low,0,1,0,0,1,0,0
i8,2013,South America,Black,Diesel,Manual,2.7,150761,34193.0,425,Low,0,1,0,0,0,0,1
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970.0,4935,Low,0,1,0,0,1,0,0
3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089.0,660,Low,0,0,1,0,0,0,1
3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402.0,4266,Low,0,0,1,0,1,0,0
M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322.0,2191,Low,0,1,0,0,0,0,1
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352.0,1932,Low,0,0,0,0,1,0,1
7 Series,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620.0,6962,Low,0,1,0,0,0,0,0
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950.0,1703,Low,0,0,0,0,0,0,1
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523.0,8589,High,0,1,0,0,1,1,0
5 Series,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815.0,2011,Low,0,1,0,0,0,0,1
7 Series,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363.0,1564,Low,0,1,0,0,1,0,1
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355.0,945,Low,0,0,1,0,0,0,1
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346.0,4289,Low,0,0,1,0,1,0,0
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155.0,3748,Low,0,0,1,0,0,0,0
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753.0,3476,Low,0,1,0,0,1,0,0
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274.0,5759,Low,0,0,1,0,0,0,0
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144.0,9420,High,0,0,1,0,1,1,0
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604.0,9797,High,0,1,0,0,1,1,0
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388.0,7944,High,0,0,1,0,1,1,0
7 Series,2012,South America,Silver,Petrol,Manual,3.8,93073,102551.0,6709,Low,0,1,0,0,1,0,0
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121.0,4823,Low,0,0,1,0,1,0,0
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106.0,1048,Low,0,1,0,0,0,0,1
i8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729.0,9545,High,0,1,0,0,1,1,0
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912.0,2167,Low,0,1,0,0,0,0,1
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286.0,3140,Low,0,1,0,0,1,0,0
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923.0,7821,High,0,1,0,0,0,1,0
i8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887.0,2085,Low,0,1,0,0,0,0,1
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473.0,8030,High,0,0,1,0,1,1,0
i8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965.0,5409,Low,0,1,0,0,1,0,0
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799.0,4367,Low,0,1,0,0,1,0,0
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927.0,1472,Low,0,0,0,0,1,0,1
i3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385.0,455,Low,0,1,0,1,0,0,1
i3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696.0,7218,High,0,1,0,0,0,0,0
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951.0,3389,Low,0,0,1,0,0,0,0
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900.0,8581,High,0,0,1,0,1,1,0
i8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846.0,1431,Low,0,1,0,0,0,0,1
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908.0,2775,Low,0,0,0,0,1,0,0
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897.0,4601,Low,0,0,1,0,1,0,0
3 Series,2011,Middle East,Red,Hybrid,Automatic,4.0,22280,55612.0,6698,Low,0,1,0,0,0,0,0
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188.0,6056,Low,0,0,0,0,0,0,0
i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587.0,6301,Low,0,0,1,0,1,0,0
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231.0,8734,High,0,1,0,0,0,1,0
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801.0,8644,High,0,0,1,0,1,1,0
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213.0,5456,Low,0,0,1,0,1,0,0
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013.0,8472,High,0,0,1,0,0,1,0
i8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942.0,5940,Low,0,1,0,0,0,0,0
7 Series,2023,Europe,Red,Electric,Manual,5.0,50602,83812.0,2241,Low,0,0,1,0,1,0,1
7 Series,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993.0,8663,High,0,1,0,0,1,1,0
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158.0,8293,High,0,0,1,0,0,1,0
i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279.0,8445,High,0,1,0,0,1,1,0
i3,2023,North America,Silver,Electric,Manual,5.0,190643,36081.0,190,Low,0,0,1,0,0,0,1
7 Series,2017,Middle East,Grey,Petrol,Automatic,3.0,112754,93431.0,7462,High,0,1,0,0,1,0,0
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950.0,8339,High,0,1,0,0,0,1,0
i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212.0,4055,Low,0,0,1,0,0,0,0
5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224.0,3683,Low,0,1,0,0,1,0,0
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557.0,1180,Low,0,0,1,0,0,0,1
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663.0,9100,High,0,1,0,1,1,1,0
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059.0,6844,Low,0,1,0,0,1,0,0
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389.0,8882,High,0,0,0,0,0,1,0
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520.0,2914,Low,0,1,0,0,0,0,0
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194.0,4548,Low,0,0,1,0,0,0,0
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668.0,271,Low,0,0,1,1,1,0,1
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348.0,2451,Low,0,0,1,0,1,0,1
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099.0,4212,Low,0,0,1,1,0,0,0
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084.0,3275,Low,0,1,0,0,1,0,0
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811.0,7337,High,0,0,1,0,0,0,0
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733.0,8345,High,0,0,1,0,1,1,0
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997.0,2162,Low,0,0,1,0,0,0,1
i8,2010,North America,White,Electric,Automatic,2.5,75457,101282.0,8396,High,0,1,0,0,1,1,0
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345.0,1299,Low,0,1,0,0,1,0,1
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095.0,3880,Low,0,1,0,0,0,0,0
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764.0,5637,Low,0,1,0,1,1,0,0
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275.0,8394,High,0,1,0,0,0,1,0
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796.0,5935,Low,0,1,0,1,0,0,0
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071.0,5908,Low,0,0,1,0,1,0,0
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627.0,3147,Low,0,1,0,0,0,0,0
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316.0,1732,Low,0,1,0,0,1,0,1
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619.0,719,Low,0,0,1,0,1,0,1
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666.0,1460,Low,0,0,1,0,0,0,1
M5,2012,Europe,Black,Electric,Manual,5.0,86899,56202.0,3235,Low,0,1,0,0,0,0,0
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152.0,7139,High,0,1,0,0,1,0,0
i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447.0,2694,Low,0,1,0,0,1,0,0
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983.0,3403,Low,0,1,0,0,1,0,0
i3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958.0,8216,High,0,1,0,0,1,1,0
3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660.0,8650,High,0,1,0,0,1,1,0
3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509.0,8070,High,0,0,1,0,1,1,0
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798.0,169,Low,0,1,0,0,1,0,1
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464.0,6353,Low,0,0,0,0,1,0,0
i3,2016,North America,Black,Petrol,Manual,2.3,91458,33185.0,8634,High,0,1,0,0,0,1,0
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606.0,1684,Low,1,0,0,0,0,0,1
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604.0,5312,Low,0,1,0,0,1,0,0
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198.0,7059,High,0,0,1,1,1,0,0
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996.0,9620,High,0,1,0,0,1,1,0
3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651.0,8157,High,0,1,0,1,0,1,0
7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473.0,8666,High,0,1,0,0,1,1,0
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920.0,2600,Low,0,0,1,0,0,0,0
5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384.0,9334,High,0,1,0,0,1,1,0
5 Series,2010,Europe,Red,Petrol,Manual,1.8,194101,34120.0,1344,Low,0,1,0,0,0,0,1
5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412.0,8291,High,0,1,0,0,1,1,0
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749.0,7553,High,0,1,0,0,0,1,0
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884.0,9645,High,0,0,1,0,1,1,0
3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684.0,9474,High,0,1,0,0,1,1,0
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899.0,8000,High,0,1,0,0,0,1,0
5 Series,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501.0,6584,Low,0,1,0,0,0,0,0
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731.0,6249,Low,0,0,1,0,0,0,0
i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690.0,1697,Low,0,1,0,0,0,0,1
i3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894.0,6072,Low,0,1,0,0,0,0,0
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774.0,1142,Low,0,0,1,0,1,0,1
7 Series,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764.0,9856,High,0,1,0,0,0,1,0
i3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834.0,7607,High,0,1,0,0,0,1,0
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468.0,8333,High,0,1,0,0,1,1,0
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448.0,3877,Low,0,1,0,1,0,0,0
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482.0,4956,Low,0,0,1,0,1,0,0
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846.0,5598,Low,0,0,1,0,1,0,0
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494.0,6791,Low,0,1,0,0,0,0,0
i3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137.0,968,Low,0,1,0,0,1,0,1
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617.0,8217,High,0,1,0,0,1,1,0
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637.0,5548,Low,0,0,0,0,1,0,0
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181.0,148,Low,0,1,0,0,1,0,1
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650.0,6447,Low,0,0,1,0,1,0,0
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627.0,6673,Low,0,0,1,0,0,0,0
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967.0,8127,High,0,1,0,0,1,1,0
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120.0,9970,High,0,0,1,1,0,1,0
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547.0,9832,High,0,1,0,0,1,1,0
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818.0,3880,Low,0,0,1,0,1,0,0
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279.0,9951,High,0,0,1,0,0,1,0
5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571.0,7403,High,0,0,0,0,0,0,0
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066.0,8537,High,0,0,0,0,1,1,0
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119.0,4249,Low,0,0,1,0,0,0,0
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691.0,271,Low,0,0,1,0,0,0,1
3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429.0,6974,Low,0,1,0,0,1,0,0
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644.0,2922,Low,0,0,1,1,1,0,0
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010.0,3433,Low,0,1,0,0,0,0,0
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793.0,6620,Low,0,1,0,0,0,0,0
3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189.0,1476,Low,0,1,0,0,1,0,1
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968.0,4129,Low,0,0,1,0,1,0,0
i3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327.0,9128,High,0,1,0,0,0,1,0
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635.0,3507,Low,0,0,1,0,1,0,0
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484.0,9106,High,0,1,0,0,1,1,0
3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328.0,3222,Low,0,1,0,0,0,0,0
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024.0,9331,High,0,1,0,0,0,1,0
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436.0,5761,Low,0,0,1,0,0,0,0
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997.0,6920,Low,0,0,1,1,1,0,0
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862.0,6897,Low,0,0,1,0,0,0,0
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924.0,5139,Low,0,0,1,0,1,0,0
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719.0,1396,Low,0,1,0,0,0,0,1
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919.0,491,Low,0,0,1,0,0,0,1
3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591.0,6640,Low,0,1,0,0,0,0,0
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328.0,8960,High,0,0,1,0,1,1,0
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552.0,5542,Low,0,1,0,0,0,0,0
3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156.0,7342,High,0,1,0,0,1,0,0
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927.0,1057,Low,0,0,1,0,1,0,1
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495.0,7431,High,0,1,0,0,0,0,0
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271.0,6150,Low,0,0,0,0,0,0,0
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435.0,9536,High,0,0,1,0,0,1,0
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988.0,5141,Low,0,0,1,0,1,0,0
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953.0,1659,Low,0,1,0,0,0,0,1
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673.0,4699,Low,0,1,0,0,1,0,0
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738.0,6588,Low,0,1,0,0,0,0,0
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097.0,1474,Low,0,0,1,0,0,0,1
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936.0,2428,Low,0,0,1,0,0,0,1
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186.0,5065,Low,0,0,1,0,1,0,0
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861.0,9087,High,0,0,1,0,0,1,0
3 Series,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086.0,5817,Low,0,1,0,0,0,0,0
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868.0,3445,Low,0,0,1,0,1,0,0
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087.0,3372,Low,0,0,1,0,1,0,0
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057.0,7327,High,0,0,1,0,0,0,0
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173.0,808,Low,0,0,0,0,1,0,1
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309.0,3076,Low,0,1,0,0,0,0,0
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909.0,6636,Low,0,0,1,0,1,0,0
7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752.0,3606,Low,0,1,0,0,0,0,0
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447.0,1206,Low,0,1,0,0,1,0,1
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705.0,7058,High,0,0,1,0,1,0,0
i8,2010,South America,Red,Hybrid,Automatic,2.0,49903,92666.0,9368,High,0,1,0,0,1,1,0
7 Series,2010,Asia,White,Petrol,Automatic,2.8,28668,65268.0,2069,Low,0,1,0,0,0,0,1
i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846.0,6121,Low,0,1,0,0,1,0,0
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860.0,9792,High,0,0,1,0,1,1,0
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850.0,9612,High,0,0,1,0,0,1,0
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859.0,8022,High,0,1,0,0,1,1,0
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293.0,3205,Low,0,1,0,1,1,0,0
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700.0,249,Low,0,0,1,0,0,0,1
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253.0,7350,High,0,1,0,1,0,0,0
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980.0,3581,Low,0,1,0,0,1,0,0
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120.0,381,Low,0,1,0,0,1,0,1
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839.0,3880,Low,0,1,0,0,1,0,0
3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678.0,2815,Low,0,1,0,0,1,0,0
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170.0,9239,High,0,0,1,0,0,1,0
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035.0,1036,Low,0,1,0,0,1,0,1
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836.0,5315,Low,0,0,1,0,0,0,0
